 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
135,fields:fld0095,2.300E1,7.139E1,4.579E1,3.900E1,1.300E1,1.380E2,1.977E3,3.412E2,1.977E3,3.415E2,1.731E1,6.401E0,4.575E0,2.907E1,9.642E-1,7.211E0,1.642E3,6.700E1,1.642E3,9.500E1,1.974E3,3.430E2,3.369E1,5.000E0,1.399E0,7.146E-1,8.846E-1
136,fields:fld0095,2.200E1,7.955E1,3.828E1,5.300E1,1.700E1,1.380E2,1.482E2,8.403E2,1.483E2,8.402E2,1.673E1,5.567E0,5.032E0,1.476E2,9.880E-1,6.403E0,1.750E3,8.600E1,1.750E3,9.500E1,1.460E2,8.380E2,1.287E2,5.000E0,1.106E0,9.038E-1,8.627E-1
137,fields:fld0097,2.700E1,7.167E1,3.850E1,3.800E1,1.400E1,1.370E2,6.492E2,5.748E2,6.494E2,5.751E2,1.873E1,6.252E0,5.499E0,9.874E1,9.674E-1,7.211E0,1.935E3,6.500E1,1.935E3,9.700E1,6.470E2,5.720E2,1.237E2,6.000E0,1.137E0,8.796E-1,8.710E-1
138,fields:fld0097,2.100E1,8.324E1,3.602E1,3.100E1,3.100E1,1.410E2,4.777E2,1.193E3,4.778E2,1.193E3,1.590E1,5.328E0,5.018E0,1.103E2,1.000E0,6.403E0,1.748E3,8.700E1,1.748E3,9.700E1,4.760E2,1.190E3,1.287E2,5.000E0,1.062E0,9.418E-1,9.130E-1
139,fields:fld0098,1.800E1,5.494E1,3.322E1,2.900E1,1.900E1,1.190E2,5.944E1,4.983E1,5.967E1,5.002E1,1.590E1,5.481E0,4.181E0,6.287E0,8.948E-1,6.403E0,9.890E2,3.700E1,9.890E2,9.800E1,5.700E1,5.200E1,3.866E1,4.000E0,1.311E0,7.629E-1,9.231E-1
140,fields:fld0098,2.300E1,7.635E1,3.423E1,7.400E1,1.700E1,1.350E2,6.824E2,4.632E2,6.824E2,4.634E2,1.756E1,5.659E0,5.175E0,5.306E1,9.377E-1,6.403E0,1.756E3,7.300E1,1.756E3,9.800E1,6.790E2,4.620E2,1.413E2,6.000E0,1.094E0,9.144E-1,8.070E-1
141,fields:fld0099,2.200E1,7.155E1,3.957E1,9.200E1,1.900E1,1.340E2,1.728E2,4.193E2,1.728E2,4.195E2,1.673E1,5.674E0,4.937E0,4.655E0,9.880E-1,6.403E0,1.574E3,7.300E1,1.574E3,9.900E1,1.700E2,4.210E2,3.866E1,5.000E0,1.149E0,8.701E-1,8.627E-1
142,fields:fld0099,2.300E1,7.048E1,3.954E1,7.300E1,1.400E1,1.310E2,4.451E2,6.048E2,4.452E2,6.051E2,1.756E1,5.837E0,5.017E0,1.291E2,9.377E-1,6.708E0,1.621E3,7.300E1,1.621E3,9.900E1,4.430E2,6.020E2,1.166E2,5.657E0,1.163E0,8.595E-1,8.214E-1
143,fields:fld0099,2.600E1,7.769E1,4.116E1,1.350E2,1.600E1,1.350E2,1.380E3,1.235E3,1.380E3,1.235E3,1.814E1,6.042E0,5.479E0,1.409E2,9.927E-1,7.211E0,2.020E3,8.200E1,2.020E3,9.900E1,1.378E3,1.232E3,1.237E2,5.816E0,1.103E0,9.068E-1,8.525E-1
144,fields:fld0099,2.000E1,8.065E1,3.700E1,2.100E1,2.100E1,1.330E2,1.092E3,1.421E3,1.092E3,1.421E3,1.614E1,5.241E0,4.858E0,3.798E1,9.645E-1,6.325E0,1.613E3,8.700E1,1.613E3,9.900E1,1.089E3,1.422E3,1.843E1,5.000E0,1.079E0,9.270E-1,8.333E-1
145,fields:fld0101,2.400E1,7.538E1,3.568E1,1.700E1,1.700E1,1.240E2,4.126E2,1.167E3,4.127E2,1.166E3,1.731E1,6.034E0,5.065E0,8.491E1,1.000E0,6.708E0,1.809E3,8.300E1,1.809E3,1.010E2,4.110E2,1.164E3,1.166E2,5.000E0,1.191E0,8.394E-1,9.057E-1
146,fields:fld0101,2.400E1,7.379E1,4.158E1,3.100E1,1.300E1,1.320E2,1.747E2,1.494E3,1.749E2,1.494E3,1.873E1,6.099E0,5.010E0,2.204E0,8.599E-1,7.211E0,1.771E3,9.300E1,1.771E3,1.010E2,1.720E2,1.492E3,1.463E2,5.000E0,1.217E0,8.214E-1,8.727E-1
147,fields:fld0102,2.700E1,7.181E1,4.574E1,1.300E1,1.300E1,1.450E2,1.684E3,3.628E2,1.684E3,3.629E2,1.956E1,6.219E0,5.528E0,5.617E1,8.872E-1,7.211E0,1.939E3,7.400E1,1.939E3,1.020E2,1.681E3,3.650E2,3.369E1,6.000E0,1.125E0,8.889E-1,8.571E-1
148,fields:fld0103,2.000E1,6.120E1,3.578E1,1.800E1,1.800E1,1.210E2,2.186E2,1.664E2,2.189E2,1.666E2,1.531E1,5.251E0,4.849E0,1.534E2,1.000E0,5.831E0,1.224E3,5.200E1,1.224E3,1.030E2,2.170E2,1.640E2,1.210E2,5.000E0,1.083E0,9.235E-1,8.889E-1
149,fields:fld0103,2.300E1,5.396E1,3.809E1,2.900E1,1.300E1,1.260E2,1.889E3,1.298E3,1.889E3,1.298E3,1.673E1,5.800E0,5.049E0,1.639E2,1.000E0,6.403E0,1.241E3,3.000E1,1.241E3,1.030E2,1.887E3,1.295E3,1.287E2,5.000E0,1.149E0,8.705E-1,8.846E-1
150,fields:fld0104,2.400E1,7.450E1,3.770E1,1.230E2,1.300E1,1.270E2,5.693E2,5.403E2,5.695E2,5.402E2,1.756E1,5.701E0,5.360E0,1.350E2,9.785E-1,6.403E0,1.788E3,7.200E1,1.788E3,1.040E2,5.670E2,5.380E2,1.287E2,5.657E0,1.064E0,9.401E-1,8.421E-1
151,fields:fld0105,2.500E1,7.736E1,3.942E1,6.600E1,1.700E1,1.340E2,1.417E3,7.597E2,1.417E3,7.596E2,1.897E1,5.993E0,5.311E0,6.351E1,8.730E-1,6.708E0,1.934E3,7.900E1,1.934E3,1.050E2,1.415E3,7.570E2,1.166E2,6.000E0,1.128E0,8.862E-1,8.197E-1
152,fields:fld0107,2.400E1,6.425E1,4.338E1,1.900E1,1.600E1,1.400E2,1.973E3,1.044E3,1.973E3,1.044E3,1.731E1,6.235E0,4.901E0,1.447E2,1.000E0,7.211E0,1.542E3,4.900E1,1.542E3,1.070E2,1.970E3,1.043E3,1.463E2,5.000E0,1.272E0,7.859E-1,9.057E-1
153,fields:fld0108,2.100E1,7.557E1,3.936E1,8.800E1,1.600E1,1.310E2,9.293E2,1.383E3,9.292E2,1.383E3,1.673E1,5.478E0,4.881E0,1.189E2,9.431E-1,6.403E0,1.587E3,8.800E1,1.587E3,1.080E2,9.270E2,1.381E3,1.287E2,5.000E0,1.122E0,8.911E-1,8.936E-1
154,fields:fld0110,2.300E1,7.339E1,3.842E1,4.200E1,2.400E1,1.410E2,9.128E1,7.986E2,9.149E1,7.985E2,1.673E1,5.757E0,5.087E0,2.070E1,1.000E0,6.403E0,1.688E3,6.300E1,1.688E3,1.100E2,8.900E1,8.010E2,3.866E1,5.000E0,1.132E0,8.836E-1,8.846E-1
155,fields:fld0111,2.500E1,6.792E1,4.605E1,1.200E1,1.200E1,1.380E2,1.931E3,7.101E2,1.931E3,7.100E2,1.814E1,6.171E0,5.158E0,2.052E1,9.545E-1,7.211E0,1.698E3,5.600E1,1.698E3,1.110E2,1.928E3,7.120E2,3.369E1,5.657E0,1.196E0,8.358E-1,8.475E-1
156,fields:fld0112,2.700E1,6.659E1,4.574E1,1.400E1,1.400E1,1.420E2,1.748E3,9.283E1,1.748E3,9.322E1,1.873E1,6.174E0,5.568E0,6.086E1,9.674E-1,7.211E0,1.798E3,4.200E1,1.798E3,1.120E2,1.746E3,9.600E1,5.631E1,6.000E0,1.109E0,9.019E-1,8.710E-1
157,fields:fld0112,2.600E1,8.450E1,4.296E1,1.700E1,1.700E1,1.400E2,1.548E3,1.172E3,1.548E3,1.172E3,1.814E1,6.165E0,5.370E0,1.325E2,9.927E-1,7.211E0,2.197E3,9.200E1,2.197E3,1.120E2,1.545E3,1.170E3,1.463E2,6.000E0,1.148E0,8.711E-1,8.525E-1
158,fields:fld0113,2.000E1,7.900E1,3.583E1,9.300E1,2.200E1,1.410E2,5.980E2,5.262E2,5.981E2,5.263E2,1.614E1,5.241E0,4.858E0,1.420E2,9.645E-1,6.325E0,1.580E3,8.600E1,1.580E3,1.130E2,5.950E2,5.250E2,1.616E2,5.000E0,1.079E0,9.270E-1,8.333E-1
159,fields:fld0114,2.500E1,7.384E1,4.539E1,1.300E1,1.200E1,1.420E2,1.374E3,1.213E3,1.374E3,1.213E3,1.731E1,5.979E0,5.324E0,1.136E2,1.000E0,7.071E0,1.846E3,8.300E1,1.846E3,1.140E2,1.371E3,1.211E3,1.350E2,5.000E0,1.123E0,8.906E-1,9.091E-1
160,fields:fld0116,2.600E1,6.912E1,4.648E1,2.800E1,1.600E1,1.460E2,1.816E3,4.746E1,1.816E3,4.757E1,1.849E1,6.002E0,5.515E0,1.616E2,9.562E-1,7.211E0,1.797E3,7.500E1,1.797E3,1.160E2,1.813E3,4.600E1,1.463E2,5.000E0,1.088E0,9.189E-1,9.286E-1
161,fields:fld0118,5.000E0,6.720E1,4.056E1,1.800E1,1.800E1,1.110E2,8.303E2,9.901E2,8.306E2,9.901E2,7.071E0,3.144E0,2.025E0,1.616E2,1.000E0,3.606E0,3.360E2,7.500E1,3.360E2,1.180E2,8.290E2,9.890E2,1.463E2,2.000E0,1.553E0,6.439E-1,9.091E-1
162,fields:fld0118,2.300E1,7.870E1,4.134E1,3.300E1,1.700E1,1.380E2,6.521E2,1.498E3,6.523E2,1.498E3,1.673E1,5.800E0,5.049E0,1.639E2,1.000E0,6.403E0,1.810E3,8.900E1,1.810E3,1.180E2,6.500E2,1.496E3,1.287E2,5.000E0,1.149E0,8.705E-1,8.846E-1
163,fields:fld0119,2.700E1,7.511E1,4.436E1,1.300E1,1.300E1,1.440E2,1.444E3,3.668E2,1.445E3,3.671E2,1.873E1,6.213E0,5.534E0,5.713E1,9.674E-1,7.211E0,2.028E3,8.100E1,2.028E3,1.190E2,1.443E3,3.700E2,5.631E1,6.000E0,1.123E0,8.907E-1,8.852E-1
164,fields:fld0119,2.200E1,8.286E1,4.092E1,1.700E1,1.700E1,1.340E2,1.612E3,9.299E2,1.612E3,9.300E2,1.673E1,5.893E0,4.754E0,3.553E0,9.880E-1,6.708E0,1.823E3,9.900E1,1.823E3,1.190E2,1.609E3,9.320E2,2.657E1,5.000E0,1.240E0,8.067E-1,8.627E-1
165,fields:fld0120,2.000E1,5.620E1,3.058E1,2.200E1,2.200E1,1.080E2,5.240E2,2.122E2,5.242E2,2.124E2,1.614E1,5.420E0,4.698E0,2.382E1,9.645E-1,6.325E0,1.124E3,4.800E1,1.124E3,1.200E2,5.210E2,2.130E2,1.843E1,5.000E0,1.154E0,8.667E-1,8.163E-1
166,fields:fld0121,2.800E1,6.368E1,4.247E1,2.800E1,1.500E1,1.370E2,1.509E3,4.075E1,1.509E3,4.104E1,1.956E1,6.086E0,5.858E0,4.643E1,9.200E-1,7.211E0,1.783E3,4.800E1,1.783E3,1.210E2,1.506E3,4.300E1,3.369E1,6.000E0,1.039E0,9.625E-1,8.750E-1
167,fields:fld0121,2.500E1,7.972E1,4.557E1,1.900E1,1.500E1,1.430E2,1.330E3,1.185E3,1.330E3,1.185E3,1.756E1,6.286E0,5.064E0,1.545E2,1.000E0,7.211E0,1.993E3,9.800E1,1.993E3,1.210E2,1.327E3,1.183E3,1.463E2,5.657E0,1.241E0,8.057E-1,8.475E-1
168,fields:fld0121,2.100E1,7.138E1,3.716E1,9.400E1,1.200E1,1.320E2,1.052E3,1.391E3,1.053E3,1.391E3,1.649E1,5.254E0,5.090E0,8.130E0,9.710E-1,6.403E0,1.499E3,7.600E1,1.499E3,1.210E2,1.050E3,1.389E3,1.287E2,5.000E0,1.032E0,9.688E-1,9.130E-1
169,fields:fld0122,2.400E1,8.000E1,3.928E1,3.100E1,1.500E1,1.380E2,5.858E2,1.028E3,5.859E2,1.029E3,1.731E1,5.735E0,5.329E0,0.000E0,1.000E0,6.403E0,1.920E3,8.700E1,1.920E3,1.220E2,5.840E2,1.026E3,1.287E2,5.000E0,1.076E0,9.292E-1,8.889E-1
170,fields:fld0122,2.700E1,7.763E1,4.260E1,1.200E1,1.200E1,1.350E2,8.502E2,1.048E3,8.503E2,1.048E3,2.014E1,6.167E0,5.575E0,1.484E2,8.363E-1,7.211E0,2.096E3,8.400E1,2.096E3,1.220E2,8.470E2,1.046E3,1.463E2,6.000E0,1.106E0,9.040E-1,8.571E-1
171,fields:fld0123,2.600E1,6.550E1,4.477E1,2.000E1,1.400E1,1.370E2,1.315E3,9.035E1,1.315E3,9.063E1,1.790E1,6.518E0,5.079E0,1.711E1,1.000E0,7.211E0,1.703E3,5.300E1,1.703E3,1.230E2,1.312E3,9.200E1,3.369E1,5.000E0,1.283E0,7.792E-1,9.286E-1
